Product name,Original Price,Discount,Price After Discount,Ratings
"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)  (6 GB RAM)","₹31,999",N/A,"₹31,900",4.2
"Redmi Note 6 Pro (Black, 64 GB)  (6 GB RAM)",N/A,33% off,"₹17,999",4.5
"Redmi Note 7S (Ruby Red, 32 GB)  (3 GB RAM)",N/A,62% off,"₹11,999",4.4
"Redmi Note 6 Pro (Blue, 64 GB)  (4 GB RAM)",N/A,30% off,"₹15,999",4.5
"Mi 10i (Midnight Black, 128 GB)  (6 GB RAM)","₹24,999",28% off,"₹17,970",4.3
"Mi 10i (Atlantic Blue, 128 GB)  (6 GB RAM)","₹24,999",28% off,"₹17,987",4.3
"Mi 10i (Pacific Sunrise, 128 GB)  (8 GB RAM)",N/A,N/A,"₹25,429",4.3
"Redmi Note 7S (Astro Moonlight White, 32 GB)  (3 GB RAM)",N/A,62% off,"₹11,999",4.4
"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)  (6 GB RAM)","₹31,999",37% off,"₹19,990",4.2
"Xiaomi 12 Pro 5G (Couture Blue, 256 GB)  (8 GB RAM)",N/A,20% off,"₹79,999",4.1
"Xiaomi 11Lite NE (Diamond Dazzle, 256 GB)  (8 GB RAM)","₹42,999",N/A,"₹42,990",4.3
"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)  (6 GB RAM)","₹31,999",N/A,"₹31,900",4.2
"Note 11 PRO Plus 5G (Stealth Black, 256 GB)  (8 GB RAM)","₹28,999",17% off,"₹23,999",4.1
"Redmi 6 (Rose Gold, 64 GB)  (3 GB RAM)",N/A,62% off,"₹10,499",4.4
"Redmi Note 7S (Onyx Black, 64 GB)  (4 GB RAM)","₹13,999",39% off,"₹8,500",4.4
"REDMI Note 11T 5G (Aquamarine Blue, 64 GB)  (6 GB RAM)","₹19,999",17% off,"₹16,464",4.2
"Redmi 6A (Gold, 32 GB)  (2 GB RAM)","₹7,997",24% off,"₹5,999",4.3
"Redmi 8A Dual (Sea Blue, 64 GB)  (3 GB RAM)",N/A,N/A,"₹9,999",4.2
"Redmi 6 (Blue, 64 GB)  (3 GB RAM)",N/A,62% off,"₹10,499",4.4
"Mi A2 (Gold, 64 GB)  (4 GB RAM)",N/A,30% off,"₹17,499",4.2
"Redmi Note 8 (Neptune Blue, 64 GB)  (4 GB RAM)",N/A,55% off,"₹12,999",4.4
"REDMI Note 11T 5G (Matte black, 128 GB)  (6 GB RAM)","₹20,999",30% off,"₹14,599",4.2
"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)  (8 GB RAM)","₹40,999",39% off,"₹24,989",4.3
"Xiaomi 11Lite NE (Vinyl Black, 256 GB)  (8 GB RAM)",N/A,N/A,"₹33,999",4.3
"Xiaomi 12 Pro 5G (Noir Black, 256 GB)  (8 GB RAM)","₹79,999",52% off,"₹37,999",4.1
"Xiaomi 11i 5G (Camo Green, 128 GB)  (8 GB RAM)","₹31,999",15% off,"₹26,999",4.2
"Redmi 6 (Gold, 32 GB)  (3 GB RAM)",N/A,50% off,"₹8,999",4.4
"Redmi 7 (Comet Blue, 32 GB)  (2 GB RAM)",N/A,N/A,"₹8,999",4.3
"Redmi 6 (Black, 64 GB)  (3 GB RAM)",N/A,62% off,"₹10,499",4.4
"Redmi Note 5 Pro (Black, 64 GB)  (4 GB RAM)",N/A,55% off,"₹14,999",4.5
"Xiaomi 11i 5G (Pacific Pearl, 128 GB)  (6 GB RAM)","₹29,999",16% off,"₹24,999",4.2
"Redmi Go (Black, 8 GB)  (1 GB RAM)",N/A,64% off,"₹5,999",4.3
"Xiaomi 11Lite NE (Jazz Blue, 128 GB)  (6 GB RAM)","₹31,999",31% off,"₹21,890",4.2
"Xiaomi 11i 5G (Pacific Pearl, 128 GB)  (6 GB RAM)","₹29,999",16% off,"₹24,999",4.2
"Redmi Go (Black, 8 GB)  (1 GB RAM)",N/A,64% off,"₹5,999",4.3
"Redmi Y1 (Grey, 32 GB)  (3 GB RAM)",N/A,N/A,"₹8,999",4.3
"Xiaomi 11Lite NE (Jazz Blue, 128 GB)  (6 GB RAM)","₹31,999",31% off,"₹21,890",4.2
"Redmi Note 8 (Neptune Blue, 64 GB)  (4 GB RAM)",N/A,55% off,"₹12,999",4.4
"Redmi Note 8 (Cosmic Purple, 128 GB)  (6 GB RAM)",N/A,N/A,"₹15,999",4.4
"Redmi Note 8 (Cosmic Purple, 64 GB)  (4 GB RAM)",N/A,55% off,"₹12,999",4.4
"Redmi Note 5 Pro (Rose Gold, 64 GB)  (4 GB RAM)",N/A,55% off,"₹14,999",4.5
"Redmi Note 8 (Space Black, 64 GB)  (4 GB RAM)",N/A,55% off,"₹12,999",4.4
"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (8 GB RAM)","₹31,999",25% off,"₹23,990",4.2
